0, 0, 0, 0 
470, 350, 460, 300 
790, 730, 840, 570 
1160, 1150, 1240, 870 
1380, 1410, 1510, 1050 
1480, 1510, 1630, 1150 
1760, 1820, 1920, 1340 
1830, 1890, 1990, 1400 
2380, 2520, 2620, 1820 
2500, 2650, 2770, 1920 
2790, 3010, 3230, 2140 
2950, 3210, 3490, 2260 
3260, 3550, 3940, 2490 
3460, 3740, 4190, 2640 
3600, 3900, 4340, 2760 
4140, 4500, 4990, 3180 
4710, 5060, 5500, 3610 
5130, 5540, 6190, 3920 
5470, 5910, 6720, 4210 
5840, 6320, 7200, 4550 
6000, 6480, 7370, 4680 
6410, 6910, 7800, 5000 
6580, 7100, 7990, 5140 
6780, 7310, 8190, 5300 
7010, 7540, 8420, 5490 
7270, 7810, 8680, 5690 
7450, 7990, 8870, 5830 
7610, 8150, 9060, 5960 
7770, 8310, 9230, 6090 
8040, 8600, 9530, 6300 
8400, 8950, 9940, 6580 
8650, 9220, 10190, 6770 
8840, 9410, 10350, 6870 
